"personal_status_sex";"duration_months";"credit_amount";"purpose"
"female : divorced/separated/married";48;4308;"business"
"female : divorced/separated/married";18;1568;"business"
"female : divorced/separated/married";12;1412;"business"
"female : divorced/separated/married";12;1185;"business"
"female : divorced/separated/married";48;7685;"business"
"female : divorced/separated/married";9;1449;"business"
"female : divorced/separated/married";12;609;"business"
"female : divorced/separated/married";33;2764;"business"
"female : divorced/separated/married";15;806;"business"
"female : divorced/separated/married";21;1572;"business"
"female : divorced/separated/married";30;4221;"business"
"female : divorced/separated/married";48;3609;"business"
"female : divorced/separated/married";27;2528;"business"
"female : divorced/separated/married";30;4280;"business"
"female : divorced/separated/married";12;841;"business"
"female : divorced/separated/married";21;1188;"business"
